Accident Type,Date,Speed (Km),Simple Injuries,Severe Injuries,Death,Medium Injuries,Road Lanes,Road Surfuce Description,Vehicle Country,Driver Licensee Type,Road Type,Light,Weather,Road Proerties,Driver Mistake,City,Vehicle type,Number of Cars,Driver Age,Sex
Collision,2018-01-14 16:35,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper lane changes,al-karak,Passengers vehicle (up to 9 seats),2,28,Unkown
Collision,2018-01-14 16:35,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,al-karak,Passengers vehicle (up to 9 seats),2,28,Male
Collision,2018-01-16 19:15,40,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,night with enough light,clear,flat straight,Neglecting traffic safety precautions,Amman,Truck,2,39,Male
Collision,2018-01-16 19:15,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,42,Male
Collision,2018-01-17 17:20,100,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,night with enough light,clear,flat straight,Neglecting traffic safety precautions,al-karak,Passenger and cargo vehicle,2,30,Male
Collision,2018-01-17 17:20,100,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,al-karak,Passengers vehicle (up to 9 seats),2,30,Male
Collision,2018-01-14 7:40,50,0,0,0,0,Two ways with median island,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,63,Male
Collision,2018-01-14 7:40,50,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Amman,Passengers vehicle (up to 9 seats),2,0,Unkown
Collision,2018-01-17 8:20,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Passengers vehicle (up to 9 seats),2,0,Male
Collision,2018-01-17 8:20,40,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,Upright straight,Violation of traffic rules,Amman,Passenger and cargo vehicle,2,29,Male
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3 auto,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),6,55,Male
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),6,0,Unkown
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class4,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),6,40,Male
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passenger and cargo vehicle,6,39,Male
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Violation of traffic rules,Jerash,Passenger and cargo vehicle,6,0,Unkown
Collision,2018-01-17 23:10,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,straight ramp,Improper lane changes,Jerash,Truck,6,21,Unkown
Collision,2018-01-17 18:25,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,29,Unkown
Collision,2018-01-17 18:25,60,0,0,0,0,Two ways,wet,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Tailgating,Jerash,Passengers vehicle (up to 9 seats),2,22,Male
Run over,2018-01-17 11:37,50,1,0,0,0,Two ways,dry,Jordan,class 6ab,asphalt,night without enough light,clear,flat straight,Neglecting traffic safety precautions,Jerash,Truck,1,33,Male
Collision,2018-01-17 14:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Tailgating,Jerash,Truck,2,18,Unkown
Collision,2018-01-17 14:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,31,Male
Collision,2018-01-17 13:30,40,0,0,0,0,Two ways,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Jerash,Passengers vehicle (up to 9 seats),2,39,Male
Collision,2018-01-17 13:30,40,0,0,0,0,Two ways,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Sharp curved,Jerash,Passengers Van or small bus (10 to 30 seats),2,54,Male
